PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI
52.983,98.018,53.473,4.73,0.887,29.983,20.82,25.825,133.0
74.786,120.579,67.147,7.62,0.305,69.464,13.877,53.443,167.0
11.568,77.683,36.3,6.136,0.388,52.109,9.153,81.884,90.0
40.301,62.005,33.193,5.783,0.997,53.016,16.659,79.677,82.0
48.687,101.233,38.762,10.111,0.674,55.509,29.257,86.383,101.0
57.603,94.988,32.559,2.545,0.497,60.307,13.532,56.212,115.0
11.517,17.932,46.533,3.971,0.376,69.997,19.884,64.982,116.0
64.762,52.242,29.22,8.118,0.863,62.519,31.882,81.144,129.0
16.554,34.407,27.385,5.298,1.311,64.543,6.524,84.728,68.0
34.019,70.109,48.289,4.974,0.901,43.74,12.017,87.657,120.0
20.07,79.645,42.194,4.255,0.45,56.62,33.109,84.023,105.0
83.801,45.363,27.055,4.102,1.184,48.432,28.192,60.503,167.0
44.263,46.606,53.622,2.353,0.685,51.658,24.77,67.805,134.0
55.956,66.934,38.978,9.092,0.823,48.393,10.261,83.363,111.0
61.857,61.895,28.014,2.888,0.942,39.36,26.934,43.302,123.0
33.915,73.627,18.67,0.154,0.705,32.736,17.892,30.792,73.0
18.856,38.391,39.646,1.726,0.742,64.926,21.46,47.344,99.0
50.75,117.138,32.574,8.172,0.769,50.872,29.839,25.87,117.0
44.25,83.417,1.819,9.634,0.111,63.057,17.197,32.595,88.0
87.624,50.186,23.469,4.497,0.861,53.684,5.156,66.872,175.0
25.826,73.59,22.335,8.679,0.838,26.322,13.848,75.246,73.0
6.845,143.311,37.462,8.311,0.64,33.774,34.49,40.955,143.0
58.059,63.149,47.419,3.916,0.806,30.442,20.777,79.201,118.0
33.506,27.819,45.577,4.121,0.955,67.167,36.186,54.369,113.0
46.435,91.429,34.03,5.308,0.78,55.988,8.57,87.145,92.0
44.707,89.114,37.76,3.509,0.845,30.635,37.17,42.843,94.0
41.154,100.701,31.447,1.793,0.565,33.53,13.526,60.643,100.0
11.196,66.924,57.087,2.477,0.643,63.859,18.79,67.006,142.0
43.325,78.94,44.045,4.99,0.622,50.875,8.474,89.281,110.0
47.932,66.301,26.611,5.525,0.794,63.845,16.883,47.441,95.0
31.246,68.183,28.83,6.607,0.694,53.838,23.654,34.157,72.0
39.413,117.291,25.233,4.823,0.596,63.738,25.997,37.562,117.0
56.655,114.617,29.837,6.351,1.018,41.892,35.021,29.741,114.0
27.149,87.437,40.007,0.581,0.528,28.378,23.108,71.441,100.0
33.916,87.52,51.559,4.435,0.618,41.762,12.02,38.884,128.0
10.161,63.178,9.759,6.252,0.876,60.767,22.833,49.941,63.0
26.301,38.849,34.311,5.984,1.061,46.818,27.366,72.74,85.0
18.349,49.058,23.759,8.073,0.437,50.451,21.345,32.355,59.0
59.772,75.2,17.47,8.611,1.032,19.284,11.87,83.959,119.0
53.79,64.287,19.347,5.642,0.965,35.972,32.762,28.195,107.0
49.759,58.826,46.989,10.167,0.725,51.347,20.94,52.265,117.0
30.742,59.021,32.143,7.169,0.819,30.662,5.408,68.437,80.0
58.795,68.277,15.837,10.729,1.095,38.351,34.039,32.435,117.0
30.438,92.513,25.745,5.368,1.007,28.886,27.347,40.015,92.0
16.363,43.451,14.366,7.854,1.085,47.778,16.356,75.507,43.0
28.217,86.375,29.262,0.107,0.823,59.494,30.366,53.571,86.0
31.566,84.815,12.469,6.748,1.013,51.29,9.312,53.559,84.0
55.087,96.488,33.417,7.451,0.733,38.586,5.715,67.392,110.0
41.904,3.347,4.424,7.354,0.376,33.211,13.58,80.338,83.0
42.653,60.065,4.226,7.434,0.852,43.872,35.612,64.46,85.0
53.874,87.776,52.797,4.264,0.601,50.18,36.303,36.072,131.0
38.502,67.288,25.776,12.818,1.257,37.397,13.799,51.569,77.0
49.839,65.752,32.693,10.116,0.753,56.552,16.574,54.994,99.0
23.122,76.706,35.215,5.259,0.383,46.136,18.703,39.866,88.0
27.095,54.4,30.887,3.083,0.601,76.903,15.412,84.238,77.0
16.54,51.03,23.15,8.555,1.055,21.504,11.73,26.17,57.0
43.334,78.943,14.682,6.33,0.798,74.879,31.295,70.447,86.0
25.29,82.556,37.883,4.141,0.827,28.326,31.306,60.151,94.0
31.435,39.501,36.171,2.283,1.001,78.707,7.629,80.321,90.0
37.334,62.947,26.299,9.877,0.628,48.564,13.942,59.45,74.0
39.891,120.792,30.567,6.665,0.824,16.721,32.465,61.898,120.0
18.045,54.886,30.929,2.846,0.762,65.175,10.353,39.315,77.0
36.268,48.55,33.693,4.029,0.863,30.954,23.668,36.174,84.0
42.713,88.299,25.237,7.901,0.754,54.508,19.711,76.397,88.0
52.085,107.352,19.319,4.239,0.734,44.235,21.051,76.581,107.0
12.903,120.485,7.85,4.275,0.833,46.907,23.521,68.26,120.0
10.545,70.085,35.732,5.018,0.927,45.837,22.177,82.253,89.0
14.452,77.22,28.998,7.728,1.071,44.066,13.981,58.202,77.0
43.905,54.485,37.739,9.638,0.625,36.772,31.392,30.168,94.0
38.221,77.671,27.456,5.802,1.089,59.969,26.664,27.277,77.0
66.581,42.844,55.322,5.335,0.807,50.045,14.79,76.621,138.0
46.668,75.933,8.0,3.979,0.334,44.526,18.5,56.931,93.0
45.875,100.027,32.929,11.037,1.228,16.19,15.552,54.957,100.0
37.42,76.218,21.919,9.556,0.65,67.693,30.935,51.832,76.0
55.749,69.49,30.614,4.193,0.859,49.428,18.289,33.792,111.0
56.629,70.304,42.11,7.082,0.546,39.996,9.653,77.108,113.0
45.166,22.487,60.561,7.099,0.713,46.524,30.502,28.579,151.0
8.045,58.713,31.705,3.233,0.606,21.382,25.843,30.809,79.0
49.565,85.519,37.773,4.088,1.111,30.927,28.68,61.114,99.0
50.868,60.143,19.171,5.514,0.575,67.324,11.672,73.113,101.0
36.584,87.605,19.164,6.58,0.882,51.047,8.5,78.697,87.0
35.902,80.692,25.456,6.724,0.021,39.819,29.47,34.611,80.0
20.073,59.778,32.102,8.53,1.061,62.412,9.062,37.105,80.0
36.804,57.763,47.151,7.373,0.843,62.227,13.09,29.622,117.0
44.216,66.33,32.822,7.465,0.534,34.348,26.248,28.197,88.0
69.34,77.769,17.989,8.82,0.752,59.679,13.754,57.344,138.0
48.785,70.168,21.69,1.471,0.865,42.297,20.934,48.617,97.0
56.971,88.449,52.671,5.75,0.709,51.816,24.275,69.063,131.0
25.695,107.982,41.699,6.404,0.447,53.089,16.399,49.755,107.0
36.927,78.74,52.753,9.945,0.955,44.937,24.396,38.864,131.0
47.341,84.741,32.886,2.076,1.181,74.958,37.581,74.701,94.0
81.279,65.858,47.118,7.53,0.882,36.167,8.027,26.935,162.0
47.997,32.711,27.723,4.122,0.948,75.164,23.039,85.284,95.0
48.243,66.467,11.764,5.774,0.821,21.906,22.38,30.542,96.0
22.078,91.725,24.247,3.869,0.83,48.108,31.724,68.871,91.0
53.42,59.906,49.791,4.778,1.354,71.166,30.261,38.714,124.0
33.562,50.458,24.568,6.519,1.302,61.23,27.336,88.989,67.0
38.858,94.059,40.268,11.998,1.06,43.584,28.791,86.072,100.0
36.889,38.805,18.084,6.896,0.756,59.01,15.566,43.913,73.0
46.416,45.305,25.284,5.362,0.693,55.785,31.822,38.041,92.0
62.319,70.961,23.612,6.227,0.864,40.983,23.025,26.364,124.0
51.839,99.418,36.858,5.565,0.597,27.091,27.982,71.859,103.0
42.981,41.595,29.143,9.289,0.775,44.532,8.859,34.473,85.0
33.623,39.769,20.321,9.072,0.834,24.713,21.874,30.528,67.0
46.609,70.724,35.108,4.562,0.909,62.683,23.3,28.07,93.0
34.457,66.899,25.828,3.096,0.543,72.653,20.432,89.11,68.0
26.045,33.371,7.327,5.009,0.739,28.668,16.062,82.519,52.0
57.314,77.362,38.216,12.384,0.944,68.407,26.009,70.488,114.0
27.774,42.012,17.308,4.816,0.604,44.414,16.837,89.399,55.0
51.346,72.978,25.155,3.159,1.172,36.908,13.421,65.47,102.0
54.222,79.131,40.932,1.72,0.878,72.386,30.404,46.43,108.0
60.923,79.997,52.621,6.872,0.849,59.471,30.243,49.352,131.0
88.359,88.92,33.424,6.088,0.973,15.478,16.407,66.046,176.0
13.827,67.119,24.955,11.558,1.037,48.181,16.161,58.871,67.0
42.663,101.397,29.275,6.322,0.63,59.173,9.983,46.007,101.0
41.092,118.504,29.033,6.803,0.84,61.477,16.573,89.107,118.0
51.937,43.812,11.293,3.113,1.035,50.234,16.812,65.068,103.0
64.64,92.04,14.702,2.185,0.861,31.375,14.082,86.055,129.0
41.007,65.497,39.966,4.757,0.69,74.082,35.68,52.453,99.0
16.731,38.177,43.938,8.451,0.794,46.247,30.288,46.123,109.0
43.549,54.163,16.064,4.818,0.628,53.837,5.721,82.796,87.0
83.572,75.714,33.379,3.808,1.028,45.413,33.786,64.254,167.0
69.64,85.994,38.167,4.503,0.628,57.052,6.0,75.278,139.0
33.222,108.063,56.766,3.573,0.741,45.419,18.251,51.275,141.0
63.88,58.366,37.608,3.691,0.816,44.521,32.604,72.915,127.0
16.32,77.87,17.432,9.583,1.194,46.485,12.365,82.563,77.0
39.793,95.508,51.932,11.633,0.952,43.117,23.095,75.412,129.0
39.031,122.708,46.391,5.796,0.281,40.51,17.674,78.201,122.0
45.027,53.279,69.237,6.302,0.887,46.034,8.436,75.818,173.0
54.027,91.288,49.663,7.566,0.891,67.274,23.205,74.606,124.0
22.678,100.171,47.639,7.173,0.724,45.414,8.108,55.102,119.0
36.411,104.442,62.622,7.318,1.328,36.6,9.947,87.495,156.0
27.607,69.59,36.318,4.913,0.66,71.284,8.359,80.399,90.0
42.216,90.056,24.872,4.148,0.497,43.402,11.385,42.946,90.0
58.895,56.328,44.016,5.41,0.584,24.319,9.818,78.627,117.0
60.87,55.081,1.281,6.839,0.55,62.873,28.786,56.263,121.0
29.917,71.468,46.932,7.892,0.655,36.59,12.635,37.549,117.0
35.776,86.283,15.967,6.314,0.758,29.4,29.129,71.951,86.0
22.025,63.197,22.625,5.188,1.111,60.293,9.723,79.409,63.0
59.509,33.849,28.162,6.317,0.672,47.725,23.457,31.391,119.0
44.809,56.222,37.201,5.963,0.837,59.733,14.331,84.708,93.0
39.546,58.367,36.74,8.539,0.703,77.552,24.414,66.633,91.0
32.738,80.239,50.519,5.728,0.811,37.202,9.845,70.312,126.0
36.087,74.51,34.975,5.748,0.862,62.018,8.876,81.102,87.0
67.804,82.437,48.982,6.591,0.674,41.378,14.151,61.128,135.0
57.693,46.465,30.63,2.544,0.929,34.305,16.341,39.807,115.0
56.829,72.178,35.596,1.458,0.806,78.838,37.593,36.21,113.0
61.772,86.867,54.213,9.098,0.641,40.769,35.176,52.584,135.0
61.468,49.062,55.001,6.786,0.764,45.899,33.195,44.607,137.0
32.985,47.756,32.26,5.322,0.814,70.712,8.26,60.976,80.0
22.031,65.374,67.655,9.725,0.61,7.731,32.219,71.595,169.0
64.071,93.189,10.928,7.35,0.704,46.037,28.478,73.411,128.0
52.994,63.756,45.007,7.112,0.881,18.348,10.374,33.796,112.0
48.895,61.196,28.674,2.427,0.692,58.109,19.552,72.558,97.0
48.783,75.591,5.33,6.02,0.483,64.939,37.414,69.167,97.0
36.137,38.626,8.707,2.248,0.779,15.207,20.611,88.384,72.0
18.207,82.398,10.019,5.635,0.806,25.065,8.025,37.556,82.0
12.875,54.365,6.249,9.057,0.665,69.759,31.948,67.028,54.0
60.44,92.739,19.421,2.677,0.925,48.283,5.882,63.485,120.0
50.594,95.691,30.462,1.562,0.545,24.508,11.92,31.307,101.0
42.597,29.473,42.919,5.113,1.139,47.46,34.602,88.112,107.0
26.221,36.687,48.132,12.946,0.836,40.979,16.924,38.857,120.0
53.453,105.986,70.823,3.603,0.681,19.366,14.949,36.819,177.0
24.811,52.537,47.382,9.369,1.037,79.495,19.084,52.202,118.0
42.813,96.315,37.91,8.495,1.016,51.44,7.791,54.861,96.0
39.754,52.343,26.792,6.075,0.871,46.135,8.406,40.535,79.0
17.074,72.31,11.736,6.077,0.506,72.026,24.853,81.395,72.0
24.085,68.19,1.741,6.19,0.5,51.108,15.806,46.032,68.0
39.337,64.668,33.007,2.983,1.072,47.081,28.021,66.954,82.0
49.049,33.538,41.875,5.985,1.08,46.719,24.218,39.551,104.0
58.556,62.221,21.389,3.361,0.45,41.707,16.533,44.649,117.0
34.042,81.514,31.268,3.301,0.537,53.611,31.394,52.454,81.0
53.222,78.909,23.226,4.119,0.676,32.152,7.026,28.468,106.0
19.87,78.973,41.772,2.752,0.609,67.129,22.77,39.303,104.0
43.396,102.258,22.763,10.008,0.638,43.189,36.737,81.193,102.0
51.508,77.223,30.095,6.114,0.732,16.574,15.072,25.737,103.0
43.326,90.472,12.625,5.652,0.74,70.443,18.545,45.573,90.0
51.434,64.172,25.856,11.283,0.708,39.755,32.374,60.403,102.0
